provincia;anio;mes_numero;mes;precipitacion_total_mm;precipitacion_promedio_mm;precipitacion_maxima_mm;dias_con_lluvia
Heredia;2023;9;Setiembre;184.8;6.16;31.6;30
Heredia;2023;10;Octubre;660.2;21.3;65.2;31
Heredia;2023;11;Noviembre;333.2;11.11;61.6;28
Heredia;2023;12;Diciembre;24.0;0.77;5.2;16
Heredia;2024;1;Enero;5.7;0.18;3.0;8
Heredia;2024;2;Febrero;24.5;0.84;6.3;9
Heredia;2024;3;Marzo;26.1;0.84;4.3;17
Heredia;2024;4;Abril;71.0;2.37;19.3;21
Heredia;2024;5;Mayo;253.3;8.17;50.4;31
Heredia;2024;6;Junio;513.4;17.11;63.3;30
Heredia;2024;7;Julio;257.4;8.3;52.1;30
Heredia;2024;8;Agosto;179.6;5.79;28.4;29
Heredia;2024;9;Setiembre;358.8;11.96;29.7;29
Heredia;2024;10;Octubre;385.6;12.44;78.6;31
Heredia;2024;11;Noviembre;697.6;23.25;84.6;30
Heredia;2024;12;Diciembre;165.2;5.33;55.8;25
Limón;2018;1;Enero;729.6;23.54;119.3;31
Limón;2018;2;Febrero;232.5;8.3;43.7;28
Limón;2018;3;Marzo;143.7;4.64;43.7;31
Limón;2018;4;Abril;243.3;8.11;33.9;30
Limón;2018;5;Mayo;378.2;12.2;64.5;31
Limón;2018;6;Junio;493.6;16.45;39.7;30
Limón;2018;7;Julio;723.7;23.35;62.6;31
Limón;2018;8;Agosto;504.3;16.27;49.5;31
Limón;2018;9;Setiembre;401.3;13.38;39.3;30
Limón;2018;10;Octubre;341.4;11.01;51.3;28
Limón;2018;11;Noviembre;452.9;15.1;92.6;30
Limón;2018;12;Diciembre;145.1;4.68;32.8;31
Limón;2019;1;Enero;85.5;2.76;8.8;30
Limón;2019;2;Febrero;106.9;3.82;35.0;28
Limón;2019;3;Marzo;207.8;6.7;26.6;31
Limón;2019;4;Abril;125.7;4.19;26.0;30
Limón;2019;5;Mayo;334.1;10.78;33.6;31
Limón;2019;6;Junio;355.6;11.85;29.2;30
Limón;2019;7;Julio;393.2;12.68;43.1;29
Limón;2019;8;Agosto;442.4;14.27;91.3;31
Limón;2019;9;Setiembre;237.3;7.91;30.4;30
Limón;2019;10;Octubre;345.2;11.14;86.2;31
Limón;2019;11;Noviembre;433.9;14.46;46.4;30
Limón;2019;12;Diciembre;576.8;18.61;126.6;31
Limón;2020;1;Enero;306.2;9.88;31.9;31
Limón;2020;2;Febrero;122.3;4.22;13.9;28
Limón;2020;3;Marzo;77.9;2.51;6.3;29
Limón;2020;4;Abril;300.5;10.02;70.6;29
Limón;2020;5;Mayo;278.6;8.99;28.5;31
